case_id,criterion,pull,argument
C-1,requirements,predictive,"Формат пакету та перелік контролів зафіксовані наказом регулятора, оновлюються раз на рік і стабільні понад пів року"
C-1,technology,adaptive,"API реєстру нестабільне, доступне лише в тестовому контурі, двічі змінювалося без попередження, а підтримка відповідає тижнями"
C-1,release_cost,predictive,"Помилка в пакеті означає зрив фіксованого терміну подання, офіційний припис оператору та трудомістке ручне виправлення"
C-1,customer,predictive,"Контактна особа відповідає за 3-5 днів, не відвідує щотижневі демо та вимагає формального триетапного приймання за актами"
C-1,contract,predictive,"Тендерний договір fixed price із пенею за прострочення, де кожна зміна обсягу вимагає двох тижнів узгодження юристами"
C-1,team,predictive,"Розподілена команда з підрядниками в іншому місті у власному графіку та єдиним QA-інженером на два паралельні проєкти"
C-2,requirements,adaptive,"Вимоги формуються гіпотезами з користувацьких інтерв'ю кожні два тижні, а минулого місяця дві функції викинули з плану"
C-2,technology,adaptive,"Стек знайомий, зовнішній платіжний шлюз має стабільну пісочницю, а релізи щотижневі з автоматичним відкатом за десять хвилин"
C-2,release_cost,predictive,"Помилка в розрахунку комісій чи застав вимагає ручних повернень і загрожує переглядом умов співпраці з банком-еквайром"
C-2,customer,adaptive,"Співзасновник сидить у кімнаті розробників, дивиться демо щоп'ятниці, відповідає за 30 хвилин і сам ухвалює рішення щодо скоупу"
C-2,contract,adaptive,"Зовнішній договір відсутній, є 9 місяців злітної смуги на гроші інвесторів і вимога показати зростання виручки на наступному раунді"
C-2,team,adaptive,"Команда з 5 фахівців у спільному просторі без вузьких спеціалізацій, які самостійно тестують власні задачі"
C-3,requirements,adaptive,"Реальні маршрути погодження не відповідають положенню, мають численні винятки і щоразу непередбачувано спливають на демо"
C-3,technology,adaptive,"Необхідність міграції з 20-річної легасі-системи без опису схеми, де у 12.5% записів відсутні дані про контрагентів"
C-3,release_cost,predictive,"Помилка в щомісячному нарахуванні платежів потрапляє до бухгалтерії та виявляється вже після реальних виплат контрагентам"
C-3,customer,adaptive,"Керівниця юридичного відділу бере участь у щотижневих демо зі своєю командою та надає активний розгорнутий зворотний зв'язок"
C-3,contract,predictive,"Договір fixed price з незмінним річним бюджетом від наглядової ради, де будь-яка зміна скоупу потребує підпису фіндиректора"
C-3,team,adaptive,"Згуртована команда з 4 людей у спільному офісі з дворічним досвідом співпраці, які легко беруть суміжні задачі"
